play_type,field_goal_result,kick_distance,player_id,player_display_name,team,opponent_team,season,week,roof,temp,wind,surface,made
field_goal,made,34.0,00-0023853,M.Prater,ARI,TEN,2021,1,outdoors,82.0,8.0,grass ,1
field_goal,missed,46.0,00-0034084,M.Badgley,TEN,ARI,2021,1,outdoors,82.0,8.0,grass ,0
field_goal,missed,43.0,00-0023853,M.Prater,ARI,TEN,2021,1,outdoors,82.0,8.0,grass ,0
field_goal,made,34.0,00-0034161,D.Carlson,LV,BAL,2021,1,dome,,,grass,1
field_goal,made,40.0,00-0029597,J.Tucker,BAL,LV,2021,1,dome,,,grass,1
field_goal,made,47.0,00-0029597,J.Tucker,BAL,LV,2021,1,dome,,,grass,1
field_goal,made,55.0,00-0034161,D.Carlson,LV,BAL,2021,1,dome,,,grass,1
field_goal,made,53.0,00-0035269,M.Gay,LA,CHI,2021,1,dome,,,matrixturf,1
field_goal,made,22.0,00-0035269,M.Gay,LA,CHI,2021,1,dome,,,matrixturf,1
field_goal,made,28.0,00-0033303,H.Butker,KC,CLE,2021,1,outdoors,88.0,8.0,grass ,1
field_goal,made,43.0,00-0033303,H.Butker,KC,CLE,2021,1,outdoors,88.0,8.0,grass ,1
field_goal,missed,31.0,00-0029621,G.Zuerlein,DAL,TB,2021,1,outdoors,82.0,9.0,grass ,0
field_goal,made,35.0,00-0029621,G.Zuerlein,DAL,TB,2021,1,outdoors,82.0,9.0,grass ,1
field_goal,missed,60.0,00-0029621,G.Zuerlein,DAL,TB,2021,1,outdoors,82.0,9.0,grass ,0
field_goal,made,21.0,00-0029621,G.Zuerlein,DAL,TB,2021,1,outdoors,82.0,9.0,grass ,1
field_goal,made,48.0,00-0029621,G.Zuerlein,DAL,TB,2021,1,outdoors,82.0,9.0,grass ,1
field_goal,made,36.0,00-0026968,R.Succop,TB,DAL,2021,1,outdoors,82.0,9.0,grass ,1
field_goal,made,23.0,00-0029822,B.McManus,DEN,NYG,2021,1,outdoors,82.0,19.0,fieldturf,1
field_goal,made,36.0,00-0029822,B.McManus,DEN,NYG,2021,1,outdoors,82.0,19.0,fieldturf,1
field_goal,made,44.0,00-0032870,A.Rosas,NO,GB,2021,1,outdoors,86.0,9.0,grass ,1
field_goal,made,39.0,00-0025580,M.Crosby,GB,NO,2021,1,outdoors,86.0,9.0,grass ,1
field_goal,missed,55.0,00-0032087,J.Lambo,JAX,HOU,2021,1,closed,,,astroturf,0
