season,week,recent_team,player_id,player_display_name,attempts_fg_0_39,attempts_fg_40_49,attempts_fg_50_plus,made_fg_0_39,made_fg_40_49,made_fg_50_plus,pat_attempts,pat_made,fantasy_points_ppr,position,opponent_team
2021,1,ARI,00-0023853,M.Prater,1.0,1.0,0.0,1.0,0.0,0.0,5.0,5.0,8.0,K,TEN
2021,1,ATL,00-0033702,Y.Koo,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,K,PHI
2021,1,BAL,00-0029597,J.Tucker,0.0,2.0,0.0,0.0,2.0,0.0,3.0,3.0,11.0,K,LV
2021,1,BUF,00-0036162,T.Bass,2.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,11.0,K,PIT
2021,1,CAR,00-0034648,R.Santoso,2.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,7.0,K,NYJ
2021,1,CHI,00-0031203,C.Santos,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,K,LA
2021,1,CIN,00-0036854,E.McPherson,1.0,0.0,1.0,1.0,0.0,1.0,3.0,3.0,11.0,K,MIN
2021,1,CLE,00-0035358,C.McLaughlin,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,K,KC
2021,1,DAL,00-0029621,G.Zuerlein,3.0,1.0,1.0,2.0,1.0,0.0,3.0,2.0,12.0,K,TB
2021,1,DEN,00-0029822,B.McManus,2.0,0.0,0.0,2.0,0.0,0.0,3.0,3.0,9.0,K,NYG
2021,1,DET,00-0035145,A.Seibert,0.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,6.0,K,SF
2021,1,GB,00-0025580,M.Crosby,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,K,NO
2021,1,HOU,00-0035192,J.Slye,2.0,1.0,0.0,2.0,1.0,0.0,4.0,4.0,14.0,K,JAX
2021,1,IND,00-0035849,R.Blankenship,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0,K,SEA
2021,1,JAX,00-0032087,J.Lambo,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,3.0,K,HOU
2021,1,KC,00-0033303,H.Butker,1.0,1.0,0.0,1.0,1.0,0.0,3.0,3.0,10.0,K,CLE
2021,1,LA,00-0035269,M.Gay,1.0,0.0,1.0,1.0,0.0,1.0,4.0,4.0,12.0,K,CHI
2021,1,LAC,00-0034909,T.Vizcaino,2.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,8.0,K,WAS
2021,1,LV,00-0034161,D.Carlson,1.0,0.0,1.0,1.0,0.0,1.0,3.0,3.0,11.0,K,BAL
2021,1,MIA,00-0034794,J.Sanders,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,6.0,K,NE
2021,1,MIN,00-0034450,G.Joseph,0.0,0.0,1.0,0.0,0.0,1.0,3.0,3.0,8.0,K,CIN
2021,1,NE,00-0025565,N.Folk,2.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,11.0,K,MIA
2021,1,NO,00-0032870,A.Rosas,0.0,1.0,0.0,0.0,1.0,0.0,5.0,5.0,9.0,K,GB
2021,1,NYG,00-0026858,G.Gano,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,K,DEN
2021,1,PHI,00-0033787,J.Elliott,0.0,1.0,0.0,0.0,1.0,0.0,3.0,3.0,7.0,K,ATL
2021,1,PIT,00-0031136,C.Boswell,2.0,1.0,0.0,2.0,1.0,0.0,2.0,2.0,12.0,K,BUF
2021,1,SEA,00-0031492,J.Myers,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,K,IND
2021,1,SF,00-0023252,R.Gould,0.0,1.0,2.0,0.0,1.0,1.0,5.0,5.0,14.0,K,DET
2021,1,TB,00-0026968,R.Succop,1.0,0.0,0.0,1.0,0.0,0.0,4.0,4.0,7.0,K,DAL
2021,1,TEN,00-0034084,M.Badgley,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,K,ARI
2021,1,WAS,00-0030098,D.Hopkins,1.0,2.0,1.0,1.0,2.0,0.0,1.0,1.0,12.0,K,LAC
2021,2,ARI,00-0023853,M.Prater,1.0,0.0,1.0,1.0,0.0,1.0,4.0,4.0,12.0,K,MIN
2021,2,ATL,00-0033702,Y.Koo,1.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,5.0,K,TB
2021,2,BAL,00-0029597,J.Tucker,0.0,1.0,0.0,0.0,1.0,0.0,3.0,3.0,7.0,K,KC
2021,2,BUF,00-0036162,T.Bass,0.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,5.0,K,MIA
2021,2,CAR,00-0033862,Z.Gonzalez,1.0,1.0,1.0,1.0,1.0,0.0,3.0,2.0,9.0,K,NO
2021,2,CHI,00-0031203,C.Santos,2.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,8.0,K,CIN
2021,2,CIN,00-0036854,E.McPherson,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,7.0,K,CHI
2021,2,CLE,00-0035358,C.McLaughlin,1.0,0.0,0.0,1.0,0.0,0.0,4.0,4.0,7.0,K,HOU
2021,2,DAL,00-0029621,G.Zuerlein,1.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,10.0,K,LAC
2021,2,DEN,00-0029822,B.McManus,1.0,2.0,0.0,1.0,2.0,0.0,2.0,2.0,13.0,K,JAX
2021,2,DET,00-0035145,A.Seibert,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,6.0,K,GB
2021,2,GB,00-0025580,M.Crosby,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,K,DET
2021,2,HOU,00-0035192,J.Slye,0.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,K,CLE
2021,2,IND,00-0035849,R.Blankenship,1.0,2.0,0.0,1.0,2.0,0.0,1.0,1.0,12.0,K,LA
2021,2,JAX,00-0032087,J.Lambo,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,K,DEN
2021,2,KC,00-0033303,H.Butker,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,K,BAL
2021,2,LA,00-0035269,M.Gay,2.0,0.0,0.0,2.0,0.0,0.0,3.0,3.0,9.0,K,IND
2021,2,LAC,00-0034909,T.Vizcaino,2.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,10.0,K,DAL
2021,2,LV,00-0034161,D.Carlson,1.0,3.0,0.0,1.0,3.0,0.0,2.0,2.0,17.0,K,PIT
2021,2,MIN,00-0034450,G.Joseph,1.0,0.0,2.0,0.0,0.0,2.0,4.0,3.0,13.0,K,ARI
2021,2,NE,00-0025565,N.Folk,2.0,2.0,0.0,2.0,2.0,0.0,2.0,1.0,15.0,K,NYJ
2021,2,NO,00-0032870,A.Rosas,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,K,CAR
2021,2,NYG,00-0026858,G.Gano,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,22.0,K,WAS
2021,2,NYJ,00-0036469,M.Ammendola,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,6.0,K,NE
2021,2,PHI,00-0033787,J.Elliott,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,K,SF
2021,2,PIT,00-0031136,C.Boswell,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,7.0,K,LV
2021,2,SEA,00-0031492,J.Myers,1.0,0.0,0.0,1.0,0.0,0.0,4.0,3.0,6.0,K,TEN
2021,2,SF,00-0023252,R.Gould,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,6.0,K,PHI
2021,2,TB,00-0026968,R.Succop,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,6.0,K,ATL
2021,2,TEN,00-0029421,R.Bullock,4.0,1.0,0.0,4.0,0.0,0.0,3.0,3.0,15.0,K,SEA
2021,2,WAS,00-0030098,D.Hopkins,1.0,2.0,0.0,1.0,2.0,0.0,3.0,3.0,14.0,K,NYG
2021,3,ARI,00-0023853,M.Prater,1.0,0.0,1.0,1.0,0.0,0.0,4.0,4.0,7.0,K,JAX
2021,3,ATL,00-0033702,Y.Koo,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,6.0,K,NYG
2021,3,BAL,00-0029597,J.Tucker,2.0,1.0,2.0,2.0,0.0,2.0,1.0,1.0,17.0,K,DET
2021,3,BUF,00-0036162,T.Bass,2.0,1.0,0.0,2.0,1.0,0.0,4.0,4.0,14.0,K,WAS
2021,3,CAR,00-0033862,Z.Gonzalez,1.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,6.0,K,HOU
2021,3,CHI,00-0031203,C.Santos,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,7.0,K,CLE
2021,3,CIN,00-0036854,E.McPherson,0.0,1.0,0.0,0.0,1.0,0.0,3.0,3.0,7.0,K,PIT
2021,3,CLE,00-0035358,C.McLaughlin,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,19.0,K,CHI
2021,3,DAL,00-0029621,G.Zuerlein,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,5.0,K,PHI
2021,3,DEN,00-0029822,B.McManus,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,16.0,K,NYJ
