season,week,team,redzone_trips,redzone_tds,redzone_fgs,redzone_trips_allowed,redzone_tds_allowed,redzone_fgs_forced
2021,1,ARI,6.0,5.0,1.0,2.0,2.0,0.0
2021,1,ATL,2.0,0.0,2.0,5.0,4.0,0.0
2021,1,BAL,3.0,3.0,0.0,6.0,3.0,1.0
2021,1,BUF,4.0,1.0,3.0,3.0,1.0,2.0
2021,1,CAR,5.0,2.0,2.0,2.0,2.0,0.0
2021,1,CHI,3.0,2.0,0.0,6.0,4.0,1.0
2021,1,CIN,4.0,3.0,1.0,3.0,3.0,0.0
2021,1,CLE,4.0,4.0,0.0,6.0,4.0,2.0
2021,1,DAL,6.0,3.0,2.0,6.0,4.0,1.0
2021,1,DEN,6.0,3.0,2.0,4.0,2.0,0.0
2021,1,DET,3.0,3.0,0.0,5.0,5.0,0.0
2021,1,GB,2.0,0.0,0.0,5.0,5.0,0.0
2021,1,HOU,6.0,4.0,2.0,3.0,3.0,0.0
2021,1,IND,4.0,2.0,1.0,4.0,4.0,0.0
2021,1,JAX,3.0,3.0,0.0,6.0,4.0,2.0
2021,1,KC,6.0,4.0,2.0,4.0,4.0,0.0
2021,1,LA,6.0,4.0,1.0,3.0,2.0,0.0
2021,1,LAC,7.0,2.0,2.0,2.0,1.0,1.0
2021,1,LV,6.0,3.0,1.0,3.0,3.0,0.0
2021,1,MIA,2.0,2.0,0.0,4.0,1.0,2.0
2021,1,MIN,3.0,3.0,0.0,4.0,3.0,1.0
2021,1,NE,4.0,1.0,2.0,2.0,2.0,0.0
2021,1,NO,5.0,5.0,0.0,2.0,0.0,0.0
2021,1,NYG,4.0,2.0,0.0,6.0,3.0,2.0
2021,1,NYJ,2.0,2.0,0.0,5.0,2.0,2.0
2021,1,PHI,5.0,4.0,0.0,2.0,0.0,2.0
2021,1,PIT,3.0,1.0,2.0,4.0,1.0,3.0
2021,1,SEA,4.0,4.0,0.0,4.0,2.0,1.0
2021,1,SF,5.0,5.0,0.0,3.0,3.0,0.0
2021,1,TB,6.0,4.0,1.0,6.0,3.0,2.0
2021,1,TEN,2.0,2.0,0.0,6.0,5.0,1.0
2021,1,WAS,2.0,1.0,1.0,7.0,2.0,2.0
2021,2,ARI,5.0,4.0,1.0,4.0,3.0,0.0
2021,2,ATL,5.0,3.0,1.0,6.0,5.0,0.0
2021,2,BAL,5.0,5.0,0.0,4.0,4.0,0.0
2021,2,BUF,5.0,5.0,0.0,3.0,0.0,0.0
2021,2,CAR,4.0,3.0,1.0,1.0,1.0,0.0
2021,2,CHI,3.0,1.0,2.0,2.0,2.0,0.0
2021,2,CIN,2.0,2.0,0.0,3.0,1.0,2.0
2021,2,CLE,5.0,4.0,1.0,3.0,3.0,0.0
2021,2,DAL,3.0,2.0,1.0,4.0,1.0,2.0
2021,2,DEN,4.0,2.0,1.0,2.0,2.0,0.0
2021,2,DET,2.0,2.0,0.0,5.0,5.0,0.0
2021,2,GB,5.0,5.0,0.0,2.0,2.0,0.0
2021,2,HOU,3.0,3.0,0.0,5.0,4.0,1.0
2021,2,IND,4.0,1.0,1.0,5.0,3.0,2.0
2021,2,JAX,2.0,2.0,0.0,4.0,2.0,1.0
2021,2,KC,4.0,4.0,0.0,5.0,5.0,0.0
2021,2,LA,5.0,3.0,2.0,4.0,1.0,1.0
2021,2,LAC,4.0,1.0,2.0,3.0,2.0,1.0
2021,2,LV,4.0,2.0,2.0,2.0,2.0,0.0
2021,2,MIA,3.0,0.0,0.0,5.0,5.0,0.0
2021,2,MIN,4.0,3.0,0.0,5.0,4.0,1.0
2021,2,NE,4.0,2.0,2.0,2.0,0.0,2.0
2021,2,NO,1.0,1.0,0.0,4.0,3.0,1.0
2021,2,NYG,4.0,2.0,2.0,4.0,3.0,1.0
2021,2,NYJ,2.0,0.0,2.0,4.0,2.0,2.0
2021,2,PHI,2.0,1.0,0.0,2.0,2.0,0.0
2021,2,PIT,2.0,2.0,0.0,4.0,2.0,2.0
2021,2,SEA,5.0,4.0,1.0,7.0,3.0,4.0
2021,2,SF,2.0,2.0,0.0,2.0,1.0,0.0
2021,2,TB,6.0,5.0,0.0,5.0,3.0,1.0
2021,2,TEN,7.0,3.0,4.0,5.0,4.0,1.0
2021,2,WAS,4.0,3.0,1.0,4.0,2.0,2.0
2021,3,ARI,4.0,3.0,1.0,4.0,2.0,0.0
2021,3,ATL,2.0,2.0,0.0,3.0,1.0,2.0
2021,3,BAL,2.0,1.0,1.0,3.0,2.0,1.0
2021,3,BUF,8.0,6.0,2.0,2.0,2.0,0.0
2021,3,CAR,5.0,3.0,1.0,1.0,1.0,0.0
2021,3,CHI,1.0,0.0,1.0,6.0,2.0,2.0
2021,3,CIN,4.0,3.0,1.0,3.0,1.0,1.0
2021,3,CLE,6.0,2.0,2.0,1.0,0.0,1.0
2021,3,DAL,6.0,5.0,0.0,2.0,2.0,0.0
2021,3,DEN,5.0,2.0,2.0,1.0,0.0,0.0
2021,3,DET,3.0,2.0,1.0,2.0,1.0,1.0
2021,3,GB,6.0,3.0,2.0,4.0,4.0,0.0
2021,3,HOU,1.0,1.0,0.0,5.0,3.0,1.0
2021,3,IND,3.0,1.0,2.0,5.0,3.0,1.0
2021,3,JAX,4.0,2.0,0.0,4.0,3.0,1.0
2021,3,KC,4.0,3.0,1.0,5.0,4.0,1.0
2021,3,LA,5.0,4.0,1.0,4.0,3.0,1.0
2021,3,LAC,5.0,4.0,1.0,4.0,3.0,1.0
2021,3,LV,6.0,3.0,3.0,2.0,2.0,0.0
2021,3,MIA,2.0,2.0,0.0,6.0,3.0,3.0
2021,3,MIN,6.0,3.0,3.0,2.0,2.0,0.0
2021,3,NE,2.0,1.0,1.0,4.0,3.0,0.0
2021,3,NO,4.0,3.0,0.0,2.0,1.0,1.0
2021,3,NYG,3.0,1.0,2.0,2.0,2.0,0.0
2021,3,NYJ,1.0,0.0,0.0,5.0,2.0,2.0
2021,3,PHI,2.0,2.0,0.0,6.0,5.0,0.0
2021,3,PIT,3.0,1.0,1.0,4.0,3.0,1.0
2021,3,SEA,2.0,2.0,0.0,6.0,3.0,3.0
2021,3,SF,4.0,4.0,0.0,6.0,3.0,2.0
2021,3,TB,4.0,3.0,1.0,5.0,4.0,1.0
2021,3,TEN,5.0,3.0,1.0,3.0,1.0,2.0
2021,3,WAS,2.0,2.0,0.0,8.0,6.0,2.0
2021,4,ARI,6.0,4.0,2.0,4.0,2.0,1.0
2021,4,ATL,5.0,4.0,1.0,6.0,5.0,1.0
2021,4,BAL,4.0,2.0,2.0,2.0,1.0,0.0
2021,4,BUF,8.0,4.0,4.0,1.0,0.0,0.0
2021,4,CAR,4.0,4.0,0.0,6.0,5.0,1.0
2021,4,CHI,4.0,3.0,1.0,6.0,2.0,0.0
2021,4,CIN,4.0,3.0,1.0,4.0,3.0,0.0
2021,4,CLE,2.0,1.0,0.0,1.0,1.0,0.0
2021,4,DAL,6.0,5.0,1.0,4.0,4.0,0.0
