season,week,team,implied_team_total
2021,1,TB,21.25
2021,1,ATL,22.75
2021,1,BUF,20.75
2021,1,CAR,20.5
2021,1,CIN,25.0
2021,1,DET,27.75
2021,1,HOU,24.5
2021,1,IND,26.0
2021,1,TEN,25.75
2021,1,WAS,21.5
2021,1,KC,24.5
2021,1,NE,20.0
2021,1,NO,26.5
2021,1,NYG,22.25
2021,1,LA,18.25
2021,1,LV,26.75
2021,2,WAS,19.0
2021,2,CAR,24.0
2021,2,CHI,21.25
2021,2,CLE,17.5
2021,2,IND,26.0
2021,2,JAX,25.5
2021,2,MIA,25.75
2021,2,NYJ,24.25
2021,2,PHI,26.0
2021,2,PIT,20.5
2021,2,ARI,23.5
2021,2,TB,19.25
2021,2,LAC,26.0
2021,2,SEA,23.5
2021,2,BAL,28.5
2021,2,GB,19.0
2021,3,HOU,25.5
2021,3,BUF,19.0
2021,3,CLE,18.75
2021,3,DET,29.25
2021,3,JAX,29.75
2021,3,KC,24.25
2021,3,NE,20.5
2021,3,NYG,22.5
2021,3,PIT,20.0
2021,3,TEN,21.25
2021,3,DEN,15.75
2021,3,LV,20.5
2021,3,LA,28.0
2021,3,MIN,27.75
2021,3,SF,23.5
2021,3,DAL,24.0
2021,4,CIN,19.25
2021,4,ATL,24.25
2021,4,BUF,14.25
2021,4,CHI,19.5
2021,4,DAL,23.5
2021,4,MIA,19.5
2021,4,MIN,26.5
2021,4,NO,17.75
2021,4,NYJ,25.0
2021,4,PHI,30.5
2021,4,LA,25.0
2021,4,SF,24.75
2021,4,DEN,21.5
2021,4,GB,19.25
2021,4,NE,27.75
2021,4,LAC,24.5
2021,5,SEA,28.0
2021,5,ATL,21.25
2021,5,CAR,21.75
2021,5,CIN,26.0
2021,5,HOU,23.75
2021,5,JAX,26.5
2021,5,MIN,19.75
2021,5,PIT,21.0
2021,5,TB,18.5
2021,5,WAS,23.0
2021,5,LAC,22.0
2021,5,LV,20.25
2021,5,ARI,21.25
2021,5,DAL,22.75
2021,5,KC,27.25
2021,5,BAL,19.5
2021,6,PHI,30.0
2021,6,JAX,25.0
2021,6,BAL,23.75
2021,6,CAR,24.0
2021,6,CHI,24.75
2021,6,DET,25.0
2021,6,IND,16.5
2021,6,NYG,28.5
2021,6,WAS,30.0
2021,6,CLE,22.5
2021,6,DEN,20.25
2021,6,NE,27.0
2021,6,PIT,18.75
2021,6,TEN,29.75
2021,7,CLE,19.25
2021,7,BAL,19.5
2021,7,GB,19.75
2021,7,MIA,25.0
2021,7,NE,18.0
2021,7,NYG,22.75
2021,7,TEN,30.75
2021,7,LA,17.0
2021,7,LV,23.5
2021,7,ARI,13.25
2021,7,TB,17.25
2021,7,SF,19.0
2021,7,SEA,24.0
2021,8,ARI,22.25
2021,8,ATL,22.25
2021,8,BUF,16.75
2021,8,CHI,22.25
2021,8,CLE,18.75
2021,8,DET,25.75
2021,8,HOU,32.0
2021,8,IND,24.0
2021,8,NYJ,27.5
2021,8,LAC,23.5
2021,8,SEA,20.0
2021,8,DEN,20.5
2021,8,NO,26.25
2021,8,MIN,22.5
2021,8,KC,21.25
2021,9,IND,17.75
2021,9,BAL,21.75
2021,9,CAR,22.5
2021,9,CIN,22.5
2021,9,DAL,19.75
2021,9,JAX,31.25
2021,9,MIA,20.5
2021,9,NO,18.0
2021,9,NYG,25.0
2021,9,PHI,25.25
2021,9,KC,20.5
2021,9,SF,19.5
2021,9,LA,23.25
2021,9,PIT,16.5
2021,10,MIA,27.5
2021,10,DAL,23.5
2021,10,IND,18.5
2021,10,NE,21.5
2021,10,NYJ,30.0
2021,10,PIT,17.0
2021,10,TEN,20.5
2021,10,WAS,30.5
2021,10,ARI,17.5
2021,10,LAC,25.25
2021,10,DEN,21.75
2021,10,GB,23.25
2021,10,LV,28.0
2021,10,SF,26.75
2021,11,ATL,27.25
2021,11,BUF,21.0
2021,11,CAR,19.75
2021,11,CHI,24.0
2021,11,CLE,14.75
2021,11,JAX,25.75
2021,11,MIN,24.5
2021,11,NYJ,24.0
2021,11,PHI,20.0
2021,11,TEN,17.0
2021,11,LV,25.75
2021,11,KC,26.75
2021,11,SEA,21.75
2021,11,LAC,21.0
2021,11,TB,19.0
2021,12,DET,21.75
2021,12,DAL,22.0
2021,12,NO,26.0
2021,12,CIN,20.0
2021,12,HOU,20.75
2021,12,IND,28.0
2021,12,JAX,23.75
2021,12,MIA,21.0
2021,12,NE,17.75
2021,12,NYG,24.75
2021,12,DEN,25.0
2021,12,GB,24.5
2021,12,SF,22.75
2021,12,BAL,22.0
2021,12,WAS,24.0
2021,13,NO,26.0
2021,13,ATL,31.0
2021,13,CHI,25.5
2021,13,CIN,23.5
2021,13,DET,27.25
2021,13,HOU,27.75
2021,13,MIA,16.75
2021,13,NYJ,24.5
2021,13,LA,17.0
2021,13,LV,23.25
2021,13,PIT,24.0
2021,13,SEA,23.75
2021,13,KC,19.0
2021,13,BUF,18.5
2021,14,MIN,20.75
2021,14,CAR,19.25
2021,14,CLE,20.5
2021,14,HOU,25.25
2021,14,KC,19.0
2021,14,NYJ,23.25
2021,14,TEN,18.0
2021,14,WAS,27.25
2021,14,DEN,14.5
2021,14,LAC,17.25
2021,14,CIN,25.75
2021,14,TB,24.5
2021,14,GB,15.75
2021,14,ARI,24.0
2021,15,LAC,28.5
2021,15,IND,23.5
2021,15,BUF,14.5
2021,15,DET,30.5
2021,15,JAX,17.0
2021,15,MIA,15.75
2021,15,NYG,27.25
2021,15,PIT,21.5
2021,15,DEN,21.0
2021,15,SF,19.25
2021,15,BAL,27.5
2021,15,TB,17.0
2021,15,CLE,22.0
2021,15,CHI,27.5
2021,15,LA,19.75
2021,15,PHI,14.75
2021,16,TEN,24.5
2021,16,GB,19.5
2021,16,ARI,22.5
2021,16,ATL,17.5
2021,16,CAR,28.0
2021,16,CIN,17.75
2021,16,HOU,29.75
2021,16,MIN,26.0
2021,16,NE,21.25
2021,16,NYJ,20.0
2021,16,PHI,15.0
2021,16,SEA,17.0
2021,16,KC,16.75
2021,16,LV,21.5
2021,16,DAL,17.5
2021,16,NO,20.25
2021,17,BAL,27.0
2021,17,BUF,16.25
2021,17,CHI,14.75
2021,17,CIN,27.25
2021,17,IND,19.0
2021,17,NE,12.25
2021,17,NYJ,31.25
2021,17,TEN,19.0
2021,17,WAS,25.5
2021,17,LAC,18.75
2021,17,SF,15.0
2021,17,DAL,23.25
2021,17,NO,15.0
2021,17,SEA,16.5
2021,17,GB,14.5
2021,17,PIT,22.25
2021,18,DEN,28.0
2021,18,PHI,26.25
2021,18,BAL,19.0
2021,18,CLE,15.75
2021,18,DET,24.5
2021,18,HOU,26.75
2021,18,JAX,28.5
2021,18,MIN,21.0
2021,18,NYG,21.0
2021,18,ARI,21.25
2021,18,ATL,22.25
2021,18,BUF,13.5
2021,18,LA,21.75
2021,18,MIA,23.5
2021,18,TB,16.0
2021,18,LV,25.75
2021,19,CIN,21.25
2021,19,BUF,19.25
2021,19,TB,19.0
2021,19,DAL,24.0
2021,19,KC,16.5
2021,19,LA,22.75
2021,20,TEN,22.25
2021,20,GB,20.75
2021,20,TB,22.75
2021,20,KC,25.75
2021,21,KC,23.75
2021,21,LA,21.0
2021,22,CIN,26.5
2022,1,LA,26.25
2022,1,ATL,24.75
2022,1,CAR,20.0
2022,1,CHI,22.25
2022,1,CIN,18.5
2022,1,DET,27.5
2022,1,HOU,26.5
2022,1,MIA,22.0
2022,1,NYJ,25.25
2022,1,WAS,20.25
2022,1,ARI,30.0
2022,1,LAC,24.5
2022,1,MIN,22.25
2022,1,TEN,19.0
2022,1,DAL,26.0
2022,1,SEA,25.0
2022,2,KC,24.25
2022,2,BAL,20.5
2022,2,CLE,16.0
2022,2,DET,24.75
2022,2,JAX,23.25
2022,2,NO,23.25
2022,2,NYG,22.5
2022,2,PIT,21.5
2022,2,LA,18.0
2022,2,SF,15.75
2022,2,DAL,24.75
2022,2,DEN,17.75
2022,2,LV,23.0
2022,2,GB,15.75
2022,2,BUF,18.75
2022,2,PHI,23.5
2022,3,CLE,16.75
2022,3,CAR,21.5
2022,3,CHI,18.5
2022,3,IND,27.75
2022,3,MIA,29.0
2022,3,MIN,22.75
2022,3,NE,24.0
2022,3,NYJ,26.25
2022,3,TEN,23.5
2022,3,WAS,26.5
2022,3,LAC,19.75
2022,3,ARI,26.25
2022,3,SEA,21.0
2022,3,TB,20.25
2022,3,DEN,22.5
2022,3,NYG,18.75
2022,4,CIN,22.25
2022,4,NO,23.0
2022,4,ATL,24.5
2022,4,BAL,26.5
2022,4,DAL,18.75
2022,4,DET,22.75
2022,4,HOU,25.25
2022,4,IND,19.25
2022,4,NYG,18.0
2022,4,PHI,18.75
2022,4,PIT,19.0
2022,4,CAR,21.5
2022,4,GB,15.25
