season,team,offensive_rating,defensive_rating,net_rating
2015,Kentucky,114.2,87.1,27.1
2015,Wisconsin,120.8,96.3,24.5
2015,Duke,119.4,95.3,24.2
2015,Arizona,113.7,90.9,22.8
2015,Virginia,110.8,88.7,22.2
2015,Villanova,115.5,93.6,21.9
2015,Gonzaga,115.3,94.5,20.8
2015,Utah,112.6,92.7,19.9
2015,Rhode Island,131.7,114.0,17.7
2015,Notre Dame,119.3,101.8,17.5
2015,Wichita State,111.1,94.6,16.5
2015,North Carolina,113.3,96.9,16.3
2015,Ohio State,112.1,96.1,16.0
2015,Northern Iowa,111.9,96.3,15.6
2015,Oklahoma,107.4,92.8,14.6
2015,Baylor,110.3,95.7,14.6
2015,Michigan State,110.0,95.9,14.1
2015,Kansas,109.2,95.3,14.0
2015,Iowa State,112.3,98.5,13.9
2015,Louisville,105.9,92.8,13.1
2015,Stephen F. Austin,111.6,98.6,13.1
2015,SMU,108.9,96.0,13.0
2015,Xavier,110.7,98.0,12.8
2015,Butler,105.8,93.2,12.6
2015,Texas,108.0,95.4,12.5
2015,Iowa,107.9,95.9,12.1
2015,Boise State,110.4,98.4,12.1
2015,Murray State,113.0,101.7,11.3
2015,BYU,111.9,100.6,11.3
2015,Davidson,113.8,102.7,11.1
2015,VCU,107.3,96.2,11.0
2015,Georgetown,108.0,97.1,10.9
2015,Dayton,105.7,95.1,10.7
2015,San Diego State,102.0,91.3,10.7
2015,West Virginia,106.4,95.8,10.6
2015,Arkansas,109.9,99.6,10.3
2015,Cincinnati,105.5,95.4,10.1
2015,Georgia State,108.8,98.7,10.1
2015,Valparaiso,106.3,96.3,10.0
2015,Florida,104.4,94.8,9.7
2015,NC State,109.4,99.7,9.7
2015,Buffalo,109.1,99.5,9.6
2015,Maryland,107.0,97.7,9.3
2015,Purdue,106.7,97.4,9.3
2015,Stanford,108.8,99.7,9.2
2015,Providence,106.9,97.8,9.1
2015,Old Dominion,104.7,95.9,8.9
2015,Colorado State,109.2,100.5,8.7
2015,Georgia,105.5,96.9,8.6
2015,Ole Miss,108.3,99.7,8.6
2015,Louisiana Tech,106.7,98.2,8.5
2015,Miami,107.0,98.5,8.5
2015,Vanderbilt,109.7,101.3,8.5
2015,Indiana,113.4,105.1,8.3
2015,Sam Houston,106.1,97.9,8.2
2015,TCU,105.8,97.8,8.1
2015,LSU,105.0,97.0,8.0
2015,George Washington,107.5,99.6,7.9
2015,UCLA,107.6,100.0,7.7
2015,Syracuse,102.9,95.2,7.7
2015,Texas A&M,106.0,98.5,7.5
2015,Oklahoma State,105.8,98.3,7.4
2015,Green Bay,103.7,96.3,7.4
2015,Temple,103.1,95.8,7.3
2015,Iona,111.1,103.8,7.3
2015,Illinois State,104.7,97.5,7.2
2015,Richmond,104.1,97.0,7.1
2015,Minnesota,107.7,100.6,7.1
2015,Wofford,104.6,97.5,7.1
2015,Oregon,109.5,102.5,7.1
2015,UConn,105.4,98.3,7.0
2015,South Dakota State,106.6,99.6,7.0
2015,St. John's,105.9,99.1,6.7
2015,North Carolina Central,106.9,100.3,6.6
2015,UTEP,104.7,98.3,6.4
2015,Illinois,106.5,100.1,6.4
2015,Harvard,102.8,96.6,6.2
