season,team,total_minutes,returning_minutes,continuity_pct
2016,Abilene Christian,6250,3450,0.552
2016,Air Force,6500,6187,0.9518461538461539
2016,Akron,7025,6096,0.8677580071174377
2016,Alabama A&M,5675,4889,0.8614977973568282
2016,Alabama,6650,4805,0.7225563909774436
2016,Alabama State,6301,4145,0.6578320901444216
2016,Alcorn State,6126,4211,0.6873979758406791
2016,American University,6252,3806,0.608765195137556
2016,App State,6200,3697,0.5962903225806452
2016,Arizona State,6450,4965,0.7697674418604651
2016,Arizona,6950,5114,0.7358273381294964
2016,Arkansas,6525,5712,0.8754022988505747
2016,Arkansas State,6300,5238,0.8314285714285714
2016,Arkansas-Pine Bluff,6625,4135,0.6241509433962265
2016,Army,6750,5589,0.828
2016,Auburn,6225,3406,0.5471485943775101
2016,Austin Peay,7300,4345,0.5952054794520548
2016,BYU,7425,5151,0.6937373737373738
2016,Ball State,7149,5598,0.7830465799412505
2016,Baylor,6875,6000,0.8727272727272727
2016,Belmont,6425,5487,0.8540077821011673
2016,Bethune-Cookman,6475,1030,0.15907335907335907
2016,Binghamton,6025,4034,0.6695435684647303
2016,Boise State,6450,5244,0.8130232558139535
2016,Boston College,6425,2229,0.3469260700389105
2016,Boston University,6875,5854,0.8514909090909091
2016,Bowling Green,6800,3915,0.575735294117647
2016,Bradley,6451,1114,0.17268640520849482
2016,Brown,5700,4379,0.7682456140350877
2016,Bryant,6250,4247,0.67952
2016,Bucknell,6324,5438,0.859898798228969
2016,Buffalo,7050,3053,0.4330496453900709
2016,Butler,6625,6067,0.9157735849056604
2016,Cal Poly,6100,5175,0.8483606557377049
2016,Cal State Bakersfield,6650,3973,0.5974436090225564
2016,Cal State Fullerton,6025,3513,0.5830705394190872
2016,Cal State Northridge,6125,4132,0.6746122448979592
2016,California,6875,6864,0.9984
2016,Campbell,6025,4539,0.7533609958506224
2016,Canisius,6775,4723,0.6971217712177121
2016,Central Arkansas,5600,4535,0.8098214285714286
2016,Central Connecticut,5875,2825,0.4808510638297872
2016,Central Michigan,6625,6506,0.9820377358490566
2016,Charleston,6250,3231,0.51696
2016,Charleston Southern,6050,3445,0.5694214876033058
2016,Charlotte,6701,1926,0.2874197880913297
2016,Chattanooga,6850,5459,0.796934306569343
2016,Chicago State,6400,2732,0.426875
2016,Cincinnati,6775,5737,0.846789667896679
2016,Clemson,6250,6025,0.964
2016,Cleveland State,6425,4289,0.6675486381322957
2016,Coastal Carolina,6625,5307,0.8010566037735849
2016,Colgate,6100,4522,0.7413114754098361
2016,Colorado,6850,6260,0.9138686131386862
2016,Colorado State,7000,5482,0.7831428571428571
2016,Columbia,7075,6191,0.8750530035335689
2016,Coppin State,6400,1932,0.301875
2016,Cornell,5650,3740,0.6619469026548672
2016,Creighton,7000,6061,0.8658571428571429
2016,Dartmouth,5650,4352,0.7702654867256638
2016,Davidson,6625,6625,1.0
2016,Dayton,6675,5689,0.8522846441947566
2016,DePaul,6225,4841,0.7776706827309237
2016,Delaware,6025,6001,0.9960165975103734
2016,Delaware State,6450,3513,0.5446511627906977
2016,Denver,6201,3605,0.5813578455087889
2016,Detroit Mercy,6225,5052,0.811566265060241
2016,Drake,6275,5190,0.8270916334661355
2016,Drexel,6225,5185,0.8329317269076305
2016,Duke,7250,3839,0.5295172413793103
2016,Duquesne,6850,6340,0.9255474452554745
2016,East Carolina,6525,5074,0.7776245210727969
2016,East Tennessee State,7275,3672,0.5047422680412371
2016,Eastern Illinois,6100,2365,0.3877049180327869
2016,Eastern Kentucky,6200,3650,0.5887096774193549
2016,Eastern Michigan,6649,3740,0.5624906000902391
2016,Eastern Washington,6795,4507,0.6632818248712289
2016,Elon,6225,3936,0.632289156626506
2016,Evansville,6850,6671,0.9738686131386861
2016,Fairfield,6725,3923,0.5833457249070632
2016,Fairleigh Dickinson,6675,4602,0.689438202247191
2016,Florida A&M,5750,2655,0.4617391304347826
2016,Florida Atlantic,6624,3467,0.5233997584541062
2016,Florida,7225,5170,0.7155709342560553
2016,Florida Gulf Coast,7175,5018,0.6993728222996516
2016,Florida International,6500,3194,0.49138461538461536
2016,Florida State,6825,3754,0.5500366300366301
2016,Fordham,6268,4519,0.7209636247606892
2016,Fresno State,7100,4795,0.6753521126760563
2016,Furman,7000,5756,0.8222857142857143
