season,game_id,home_team,away_team,home_seed,away_seed,home_points,away_points,favorite_team,underdog_team,favorite_seed,underdog_seed,upset
2015,65792,Notre Dame,Northeastern,3,14,69,65,Notre Dame,Northeastern,3,14,0
2015,65793,Iowa State,UAB,3,14,59,60,Iowa State,UAB,3,14,1
2015,65794,Baylor,Georgia State,3,14,56,57,Baylor,Georgia State,3,14,1
2015,65795,Arizona,Texas Southern,2,15,93,72,Arizona,Texas Southern,2,15,0
2015,65796,Butler,Texas,6,11,56,48,Butler,Texas,6,11,0
2015,65797,SMU,UCLA,6,11,59,60,SMU,UCLA,6,11,1
2015,65798,Xavier,Ole Miss,6,11,76,57,Xavier,Ole Miss,6,11,0
2015,65799,VCU,Ohio State,7,10,72,75,VCU,Ohio State,7,10,1
2015,65800,Villanova,Lafayette,1,16,93,52,Villanova,Lafayette,1,16,0
2015,65801,Cincinnati,Purdue,8,9,66,65,Cincinnati,Purdue,8,9,0
2015,65802,North Carolina,Harvard,4,13,67,65,North Carolina,Harvard,4,13,0
2015,65803,Utah,Stephen F. Austin,5,12,57,50,Utah,Stephen F. Austin,5,12,0
2015,65804,NC State,LSU,8,9,66,65,NC State,LSU,8,9,0
2015,65805,Arkansas,Wofford,5,12,56,53,Arkansas,Wofford,5,12,0
2015,65806,Kentucky,Hampton,1,16,79,56,Kentucky,Hampton,1,16,0
2015,65807,Georgetown,Eastern Washington,4,13,84,74,Georgetown,Eastern Washington,4,13,0
2015,65809,Kansas,New Mexico State,2,15,75,56,Kansas,New Mexico State,2,15,0
2015,65810,Michigan State,Georgia,7,10,70,63,Michigan State,Georgia,7,10,0
2015,65811,Northern Iowa,Wyoming,5,12,71,54,Northern Iowa,Wyoming,5,12,0
2015,65812,West Virginia,Buffalo,5,12,68,62,West Virginia,Buffalo,5,12,0
2015,65813,Wichita State,Indiana,7,10,81,76,Wichita State,Indiana,7,10,0
2015,65814,Virginia,Belmont,2,15,79,67,Virginia,Belmont,2,15,0
2015,65815,Louisville,UC Irvine,4,13,57,55,Louisville,UC Irvine,4,13,0
